sfid,meid,line_start,col_start,line_end,col_end
10000127,354281604,104,13,104,14
10000281,351132780,39,59,39,60
10000791,351045261,35,65,35,66
10001729,351094568,20,4,20,5
10001926,356592395,34,4,34,5
10002421,351209150,83,19,83,23
10003362,351176115,18,5,18,13
10006289,351249431,3,30,3,34
10008049,351803531,18,58,18,59
10008485,351376611,24,0,24,1
10011589,364350970,26,4,26,5
10012455,351566360,8,8,8,14
10012540,351589914,29,8,29,9
10014011,351625088,31,6,31,12
10015563,351681795,30,2,30,3
10015623,356281049,67,40,67,43
10016732,351711605,32,45,32,46
10016989,351732278,46,71,46,79
10019153,353138134,96,0,96,1
10019215,351852180,22,1,22,1
10019533,352282767,24,50,24,68
10019883,351924529,53,64,53,66
10020123,351842505,14,12,14,20
10021291,354627304,30,31,30,32
10021504,351897585,16,4,16,6
10021528,351918392,5,38,5,39
10022012,353125988,88,12,88,13
10022012,363430427,179,119,179,120
10022312,352835514,45,58,45,59
10023254,351982509,10,4,10,10
10025676,352135578,14,19,14,28
10025929,352107983,7,51,7,52
10026341,352139620,38,44,38,48
10027022,354986596,49,0,49,1
10027389,352193023,33,8,33,14
10027460,352197945,47,4,47,5
10029301,352396958,26,1,26,1
10029448,355265041,4,13,4,14
10032171,367634728,12,36,12,37
1003256,83117010,6,56,6,57
10033194,352394695,45,5,45,5
10033670,352412021,9,12,9,16
10035173,352437268,34,5,34,5
10036179,352542312,88,0,88,1
10038711,352569637,17,43,17,46
10038972,352572525,12,7,12,20
10039754,352917978,26,18,26,19
10041242,357024973,19,6,19,8
10041279,352730139,21,8,21,15
10041282,353295409,68,73,68,74
10041569,366781119,26,4,26,5
10043313,352949670,12,8,12,9
10044335,352814448,12,1,12,1
10044993,352880686,91,8,91,14
10045560,354461686,49,12,49,22
10046902,352919227,18,4,18,5
10048298,353000455,35,4,35,5
10051044,353168067,18,4,18,10
10051182,353809053,15,1,15,1
1005172,28999122,49,30,49,31
10053768,353185641,36,16,36,19
10054128,353202242,2,0,2,6
10054452,353209459,102,6,102,12
10054633,353237496,24,5,24,6
10054736,353216331,1,0,1,6
10057844,353345004,13,3,13,4
100580,3432720,70,7,70,13
100580,5209593,71,4,71,5
10060132,353412965,9,4,9,5
10061036,353445997,18,8,18,10
10062117,353482168,4,41,4,48
10063291,353510210,9,0,9,1
10063501,353525713,12,1,12,1
10063997,353541331,14,4,14,5
10064009,353530537,258,0,258,1
1006507,27180248,20,8,20,9
10065170,353606293,44,0,44,1
10065191,353593068,9,1,9,6
10065747,357610695,51,53,51,54
1006680,27464276,58,48,58,49
1006798,35189166,181,8,181,12
1006798,35425348,243,4,243,5
1006799,31615826,142,4,142,4
10068220,353705124,19,1,19,7
10069323,353747171,40,13,40,14
10070828,353775098,10,4,10,10
10071497,353804384,4,29,4,39
10071902,358672217,17,4,17,5
10073189,353896551,77,1,77,1
1007449,27257166,46,4,46,5
10075037,353936082,13,33,13,34
10075240,353934621,15,1,15,1
10076497,353983816,25,4,25,5
10077502,355825510,47,11,47,12
10077641,354051610,69,57,69,57
10078514,354103939,33,1,33,1
10078815,354054661,28,1,28,1
1007991,29291628,113,75,113,79
10081706,354243471,13,8,13,15
10082197,355992950,27,0,27,1
1008233,27867407,39,8,39,11
10082842,354231403,30,1,30,1
10083367,354231408,16,13,16,14
1008379,27322704,7,39,7,40
10085765,358504834,18,8,18,13
1008629,27322338,91,65,91,84
10086821,360530857,31,8,31,9
10087149,354398791,2,0,2,6
10087501,359142894,44,46,44,47
1008873,30510046,38,8,38,10
10088958,354759922,29,34,29,40
10089326,354468391,10,8,10,14
10089529,372990453,56,4,56,10
10089912,354549337,29,42,29,43
10090520,354515124,1,0,1,1
10091055,368430640,8,10,8,16
10091920,354550508,40,21,40,22
10092640,354627729,13,15,13,16
